replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1           	1           	0           	0           
1           	2           	9           	0.0019      	0.001899    
1           	3           	9           	0.0039      	0.003896    
1           	4           	9           	0.0041      	0.004095    
1           	5           	11          	0.0055      	0.005492    
1           	6           	11          	0.0072      	0.007185    
1           	7           	11          	0.009       	0.008978    
1           	8           	11          	0.0117      	0.01166     
1           	9           	11          	0.0117      	0.01166     
1           	10          	11          	0.0118      	0.01176     
1           	11          	11          	0.0143      	0.01454     
1           	12          	11          	0.0161      	0.01613     
1           	13          	11          	0.018       	0.01791     
1           	14          	11          	0.0202      	0.02009     
1           	15          	11          	0.0205      	0.02058     
1           	16          	11          	0.0214      	0.02137     
1           	17          	11          	0.0239      	0.02384     
1           	18          	11          	0.0257      	0.02562     
1           	19          	11          	0.0248      	0.02483     
1           	20          	11          	0.0259      	0.02571     
1           	21          	11          	0.0272      	0.02699     
1           	22          	11          	0.0292      	0.02936     
1           	23          	11          	0.028       	0.02818     
1           	24          	11          	0.031       	0.03122     
1           	25          	11          	0.0339      	0.03427     
1           	26          	11          	0.0362      	0.03623     
1           	27          	11          	0.0406      	0.04044     
1           	28          	11          	0.0405      	0.04053     
1           	29          	11          	0.0401      	0.04014     
1           	30          	11          	0.0414      	0.04141     
1           	31          	11          	0.0441      	0.04405     
1           	32          	11          	0.0448      	0.04502     
1           	33          	11          	0.0467      	0.04667     
1           	34          	11          	0.0431      	0.04375     
1           	35          	11          	0.045       	0.04512     
1           	36          	11          	0.0442      	0.04415     
1           	37          	11          	0.0431      	0.04336     
1           	38          	11          	0.0434      	0.04376     
1           	39          	11          	0.0471      	0.04717     
1           	40          	11          	0.0477      	0.04814     
1           	41          	11          	0.052       	0.05164     
1           	42          	11          	0.0523      	0.05203     
1           	43          	11          	0.0548      	0.05446     
1           	44          	11          	0.0567      	0.05736     
1           	45          	11          	0.0611      	0.06133     
1           	46          	11          	0.0638      	0.06383     
1           	47          	11          	0.0672      	0.06701     
1           	48          	11          	0.0675      	0.0673      
1           	49          	11          	0.0673      	0.0674      
1           	50          	11          	0.0662      	0.06653     
1           	51          	11          	0.0644      	0.06518     
1           	52          	11          	0.0682      	0.06836     
1           	53          	11          	0.068       	0.06845     
1           	54          	11          	0.0688      	0.06902     
1           	55          	11          	0.075       	0.07506     
1           	56          	11          	0.0802      	0.08022     
1           	57          	11          	0.0793      	0.07926     
1           	58          	11          	0.0816      	0.08165     
1           	59          	11          	0.0855      	0.08507     
1           	60          	11          	0.0869      	0.08745     
1           	61          	11          	0.0869      	0.08689     
1           	62          	11          	0.0869      	0.08689     
1           	63          	11          	0.0902      	0.09059     
1           	64          	11          	0.0937      	0.09278     
1           	65          	11          	0.0936      	0.09297     
1           	66          	11          	0.0959      	0.09458     
1           	67          	11          	0.0987      	0.09816     
1           	68          	11          	0.1005      	0.1007      
1           	69          	11          	0.1008      	0.101       
1           	70          	11          	0.1073      	0.1079      
1           	71          	11          	0.1075      	0.1078      
1           	72          	11          	0.1084      	0.1091      
1           	73          	11          	0.1037      	0.1046      
1           	74          	11          	0.1092      	0.11        
1           	75          	11          	0.1087      	0.1077      
1           	76          	11          	0.1108      	0.1106      
1           	77          	11          	0.1146      	0.1145      
1           	78          	11          	0.1194      	0.1199      
1           	79          	11          	0.1232      	0.1251      
1           	80          	11          	0.1248      	0.1242      
1           	81          	11          	0.1249      	0.1248      
1           	82          	11          	0.1275      	0.1273      
1           	83          	11          	0.1288      	0.1294      
1           	84          	11          	0.1321      	0.1311      
1           	85          	11          	0.1324      	0.1325      
1           	86          	11          	0.1377      	0.139       
1           	87          	11          	0.1378      	0.1359      
1           	88          	11          	0.1386      	0.1388      
1           	89          	11          	0.1412      	0.1403      
1           	90          	11          	0.1406      	0.141       
1           	91          	11          	0.1417      	0.1413      
1           	92          	11          	0.1445      	0.1446      
1           	93          	11          	0.1462      	0.1464      
1           	94          	11          	0.1483      	0.1474      
1           	95          	11          	0.151       	0.1503      
1           	96          	11          	0.146       	0.1462      
1           	97          	11          	0.148       	0.1477      
1           	98          	11          	0.1545      	0.1555      
1           	99          	11          	0.1549      	0.155       
1           	100         	11          	0.1628      	0.1624      
1           	101         	11          	0.1631      	0.1626      
1           	102         	11          	0.1625      	0.1635      
1           	103         	11          	0.1619      	0.1634      
1           	104         	11          	0.1609      	0.161       
1           	105         	11          	0.1676      	0.1669      
1           	106         	11          	0.166       	0.1665      
1           	107         	11          	0.1737      	0.1721      
1           	108         	11          	0.1685      	0.1684      
1           	109         	11          	0.1666      	0.1677      
1           	110         	11          	0.172       	0.1702      
1           	111         	11          	0.1703      	0.1697      
1           	112         	11          	0.1716      	0.1707      
1           	113         	11          	0.173       	0.1744      
1           	114         	11          	0.1778      	0.1778      
1           	115         	11          	0.1833      	0.1815      
1           	116         	11          	0.1842      	0.1843      
1           	117         	11          	0.1818      	0.1836      
1           	118         	11          	0.1841      	0.1861      
1           	119         	11          	0.186       	0.1854      
1           	120         	11          	0.1866      	0.1868      
1           	121         	11          	0.1921      	0.1914      
1           	122         	11          	0.1932      	0.1937      
1           	123         	11          	0.188       	0.1915      
1           	124         	11          	0.1836      	0.1855      
1           	125         	11          	0.1788      	0.1803      
1           	126         	11          	0.1808      	0.1822      
1           	127         	11          	0.1882      	0.1871      
1           	128         	11          	0.1856      	0.1869      
1           	129         	11          	0.1885      	0.1895      
1           	130         	11          	0.1849      	0.1843      
1           	131         	11          	0.1862      	0.1864      
1           	132         	11          	0.1832      	0.1842      
1           	133         	11          	0.1819      	0.1803      
1           	134         	11          	0.183       	0.183       
1           	135         	11          	0.1847      	0.1837      
1           	136         	11          	0.188       	0.188       
1           	137         	11          	0.1961      	0.1944      
1           	138         	11          	0.19        	0.1894      
1           	139         	11          	0.1913      	0.1911      
1           	140         	11          	0.1915      	0.191       
1           	141         	11          	0.1894      	0.1914      
1           	142         	11          	0.1861      	0.1861      
1           	143         	11          	0.189       	0.1884      
1           	144         	11          	0.1915      	0.1923      
1           	145         	11          	0.1932      	0.195       
1           	146         	11          	0.1957      	0.1953      
1           	147         	11          	0.1939      	0.1945      
1           	148         	11          	0.1897      	0.1909      
1           	149         	11          	0.1871      	0.1863      
1           	150         	11          	0.1872      	0.1866      
1           	151         	11          	0.1872      	0.187       
1           	152         	11          	0.1862      	0.1863      
1           	153         	11          	0.1908      	0.1894      
1           	154         	11          	0.19        	0.1901      
1           	155         	11          	0.197       	0.1969      
1           	156         	11          	0.1962      	0.1958      
1           	157         	11          	0.2039      	0.2028      
1           	158         	11          	0.2051      	0.2061      
1           	159         	11          	0.2072      	0.2074      
1           	160         	11          	0.2025      	0.2019      
1           	161         	11          	0.2029      	0.2018      
1           	162         	11          	0.2035      	0.2042      
1           	163         	11          	0.205       	0.2061      
1           	164         	11          	0.2096      	0.2093      
1           	165         	11          	0.2147      	0.2166      
1           	166         	11          	0.2182      	0.22        
1           	167         	11          	0.2231      	0.2218      
1           	168         	11          	0.2226      	0.2225      
1           	169         	11          	0.223       	0.2227      
1           	170         	11          	0.2279      	0.2273      
1           	171         	11          	0.2356      	0.2336      
1           	172         	11          	0.2378      	0.2377      
1           	173         	11          	0.2433      	0.241       
1           	174         	11          	0.2391      	0.2409      
1           	175         	11          	0.2435      	0.2443      
1           	176         	11          	0.2461      	0.247       
1           	177         	11          	0.2549      	0.252       
1           	178         	11          	0.2573      	0.2563      
1           	179         	11          	0.2552      	0.2526      
1           	180         	11          	0.2547      	0.2541      
1           	181         	11          	0.2627      	0.2604      
1           	182         	11          	0.2689      	0.2687      
1           	183         	11          	0.2617      	0.2646      
1           	184         	11          	0.2713      	0.2728      
1           	185         	11          	0.2755      	0.2751      
1           	186         	11          	0.2737      	0.2721      
1           	187         	11          	0.2682      	0.269       
1           	188         	11          	0.2696      	0.2706      
1           	189         	11          	0.2664      	0.2686      
1           	190         	11          	0.2655      	0.2687      
1           	191         	11          	0.258       	0.2605      
1           	192         	11          	0.2675      	0.2658      
1           	193         	11          	0.2626      	0.263       
1           	194         	11          	0.2648      	0.2662      
1           	195         	11          	0.2661      	0.2644      
1           	196         	11          	0.2721      	0.2701      
1           	197         	11          	0.2738      	0.2711      
1           	198         	11          	0.2721      	0.2735      
1           	199         	11          	0.2784      	0.2795      
1           	200         	11          	0.2818      	0.2804      
1           	201         	11          	0.2794      	0.2795      
1           	202         	11          	0.2825      	0.2815      
1           	203         	11          	0.2891      	0.2907      
1           	204         	11          	0.2954      	0.2946      
1           	205         	11          	0.2941      	0.2968      
1           	206         	11          	0.3003      	0.2992      
1           	207         	11          	0.3008      	0.2981      
1           	208         	11          	0.3045      	0.3032      
1           	209         	11          	0.3036      	0.305       
1           	210         	11          	0.3022      	0.3037      
1           	211         	11          	0.3048      	0.3061      
1           	212         	11          	0.3117      	0.3104      
1           	213         	11          	0.3064      	0.3078      
1           	214         	11          	0.3183      	0.3166      
1           	215         	11          	0.3195      	0.3182      
1           	216         	11          	0.3221      	0.3187      
1           	217         	11          	0.3148      	0.3155      
1           	218         	11          	0.3127      	0.3141      
1           	219         	11          	0.3149      	0.3153      
1           	220         	11          	0.3147      	0.3125      
1           	221         	11          	0.3122      	0.3123      
1           	222         	11          	0.3131      	0.3152      
1           	223         	11          	0.3171      	0.3168      
1           	224         	11          	0.3215      	0.3178      
1           	225         	11          	0.3228      	0.3207      
1           	226         	11          	0.3257      	0.3276      
1           	227         	11          	0.3225      	0.3229      
1           	228         	11          	0.3254      	0.3279      
1           	229         	11          	0.3282      	0.3268      
1           	230         	11          	0.3261      	0.3253      
1           	231         	11          	0.3282      	0.3247      
1           	232         	11          	0.3283      	0.3299      
1           	233         	11          	0.3297      	0.3325      
1           	234         	11          	0.3383      	0.3341      
1           	235         	11          	0.3451      	0.3436      
1           	236         	11          	0.3399      	0.3426      
1           	237         	11          	0.3456      	0.3511      
1           	238         	11          	0.3596      	0.3571      
1           	239         	11          	0.3567      	0.3574      
1           	240         	11          	0.3516      	0.3541      
1           	241         	11          	0.3581      	0.357       
1           	242         	11          	0.3621      	0.3611      
1           	243         	11          	0.3572      	0.3583      
1           	244         	11          	0.3622      	0.3595      
1           	245         	11          	0.3591      	0.3601      
1           	246         	11          	0.3746      	0.3731      
1           	247         	11          	0.3719      	0.3738      
1           	248         	11          	0.3717      	0.3705      
1           	249         	11          	0.3742      	0.3727      
1           	250         	11          	0.3637      	0.3632      
1           	251         	11          	0.3636      	0.3611      
1           	252         	11          	0.3633      	0.3651      
1           	253         	11          	0.37        	0.3678      
1           	254         	11          	0.3717      	0.369       
1           	255         	11          	0.3789      	0.379       
1           	256         	11          	0.3852      	0.3828      
1           	257         	11          	0.39        	0.3887      
1           	258         	11          	0.3834      	0.3813      
1           	259         	11          	0.3857      	0.3869      
1           	260         	11          	0.3957      	0.3956      
1           	261         	11          	0.3911      	0.3895      
1           	262         	11          	0.3816      	0.3841      
1           	263         	11          	0.3749      	0.3778      
1           	264         	11          	0.3771      	0.3778      
1           	265         	11          	0.3802      	0.3776      
1           	266         	11          	0.3713      	0.371       
1           	267         	11          	0.3703      	0.3711      
1           	268         	11          	0.37        	0.3725      
1           	269         	11          	0.3768      	0.3755      
1           	270         	11          	0.3691      	0.3713      
1           	271         	11          	0.3725      	0.3757      
1           	272         	11          	0.3754      	0.379       
1           	273         	11          	0.3884      	0.3877      
1           	274         	11          	0.3879      	0.39        
1           	275         	11          	0.3896      	0.3913      
1           	276         	11          	0.3949      	0.3938      
1           	277         	11          	0.3944      	0.3949      
1           	278         	11          	0.3998      	0.4003      
1           	279         	11          	0.4006      	0.3984      
1           	280         	11          	0.3906      	0.3909      
1           	281         	11          	0.3952      	0.3952      
1           	282         	11          	0.3983      	0.3984      
1           	283         	11          	0.3996      	0.3994      
1           	284         	11          	0.3964      	0.3971      
1           	285         	11          	0.3917      	0.3899      
1           	286         	11          	0.398       	0.3954      
1           	287         	11          	0.3909      	0.3907      
1           	288         	11          	0.3933      	0.3949      
1           	289         	11          	0.3885      	0.3895      
1           	290         	11          	0.3916      	0.3918      
1           	291         	11          	0.3954      	0.3951      
1           	292         	11          	0.3953      	0.3934      
1           	293         	11          	0.3867      	0.3901      
1           	294         	11          	0.389       	0.3896      
1           	295         	11          	0.3841      	0.3856      
1           	296         	11          	0.3795      	0.3794      
1           	297         	11          	0.3761      	0.3788      
1           	298         	11          	0.3851      	0.3812      
1           	299         	11          	0.3711      	0.3726      
1           	300         	11          	0.3729      	0.3725      
1           	301         	11          	0.3688      	0.37        
1           	302         	11          	0.368       	0.3689      
1           	303         	11          	0.3727      	0.3711      
1           	304         	11          	0.3714      	0.374       
1           	305         	11          	0.3724      	0.3736      
1           	306         	11          	0.3839      	0.3834      
1           	307         	11          	0.3915      	0.3916      
1           	308         	11          	0.3988      	0.398       
1           	309         	11          	0.3933      	0.3998      
1           	310         	11          	0.4015      	0.4003      
1           	311         	11          	0.4037      	0.4009      
1           	312         	11          	0.3996      	0.4011      
1           	313         	11          	0.3985      	0.3994      
1           	314         	11          	0.407       	0.406       
1           	315         	11          	0.4048      	0.4049      
1           	316         	11          	0.4085      	0.4055      
1           	317         	11          	0.3965      	0.3959      
1           	318         	11          	0.397       	0.3939      
1           	319         	11          	0.395       	0.3973      
1           	320         	11          	0.3988      	0.3998      
1           	321         	11          	0.4079      	0.4011      
1           	322         	11          	0.4054      	0.4067      
1           	323         	11          	0.4137      	0.4115      
1           	324         	11          	0.4207      	0.4163      
1           	325         	11          	0.417       	0.4161      
1           	326         	11          	0.4084      	0.4106      
1           	327         	11          	0.4141      	0.4158      
1           	328         	11          	0.411       	0.4097      
1           	329         	11          	0.4072      	0.4079      
1           	330         	11          	0.4093      	0.4096      
1           	331         	11          	0.4067      	0.4041      
1           	332         	11          	0.4081      	0.4067      
1           	333         	11          	0.406       	0.407       
1           	334         	11          	0.3989      	0.3993      
1           	335         	11          	0.4018      	0.4022      
1           	336         	11          	0.4003      	0.3978      
1           	337         	11          	0.4         	0.4003      
1           	338         	11          	0.3992      	0.4007      
1           	339         	11          	0.4079      	0.4067      
1           	340         	11          	0.4033      	0.4013      
1           	341         	11          	0.4026      	0.4024      
1           	342         	11          	0.4077      	0.4083      
1           	343         	11          	0.4127      	0.4114      
1           	344         	11          	0.4181      	0.4142      
1           	345         	11          	0.4218      	0.4222      
1           	346         	11          	0.4275      	0.4283      
1           	347         	11          	0.434       	0.4354      
1           	348         	11          	0.428       	0.4322      
1           	349         	11          	0.4346      	0.4374      
1           	350         	11          	0.4372      	0.4345      
1           	351         	11          	0.4328      	0.4348      
1           	352         	11          	0.4358      	0.4331      
1           	353         	11          	0.4298      	0.4308      
1           	354         	11          	0.4309      	0.4299      
1           	355         	11          	0.439       	0.4392      
1           	356         	11          	0.4419      	0.4381      
1           	357         	11          	0.4377      	0.434       
1           	358         	11          	0.4269      	0.429       
1           	359         	11          	0.4325      	0.4342      
1           	360         	11          	0.43        	0.4284      
1           	361         	11          	0.4208      	0.4279      
1           	362         	11          	0.435       	0.4377      
1           	363         	11          	0.442       	0.4432      
1           	364         	11          	0.4426      	0.4424      
1           	365         	11          	0.4444      	0.4421      
1           	366         	11          	0.4419      	0.4394      
1           	367         	11          	0.4357      	0.4344      
1           	368         	11          	0.4361      	0.4329      
1           	369         	11          	0.4391      	0.4345      
1           	370         	11          	0.4303      	0.4295      
1           	371         	11          	0.4365      	0.4356      
1           	372         	11          	0.4335      	0.4357      
1           	373         	11          	0.4295      	0.4289      
1           	374         	11          	0.4305      	0.4327      
1           	375         	11          	0.434       	0.4342      
1           	376         	11          	0.4525      	0.4488      
1           	377         	11          	0.4434      	0.4421      
1           	378         	11          	0.4428      	0.4439      
1           	379         	11          	0.4415      	0.4415      
1           	380         	11          	0.4312      	0.4325      
1           	381         	11          	0.434       	0.433       
1           	382         	11          	0.4329      	0.4371      
1           	383         	11          	0.4286      	0.4293      
1           	384         	11          	0.4201      	0.4211      
1           	385         	11          	0.4155      	0.4198      
1           	386         	11          	0.4101      	0.4152      
1           	387         	11          	0.4181      	0.4184      
1           	388         	11          	0.4072      	0.4085      
1           	389         	11          	0.4096      	0.4111      
1           	390         	11          	0.4178      	0.4157      
1           	391         	11          	0.428       	0.4276      
1           	392         	11          	0.4305      	0.43        
1           	393         	11          	0.4316      	0.4281      
1           	394         	11          	0.4339      	0.4319      
1           	395         	11          	0.445       	0.4435      
1           	396         	11          	0.4383      	0.438       
1           	397         	11          	0.431       	0.4327      
1           	398         	11          	0.4331      	0.4319      
1           	399         	11          	0.4384      	0.4391      
1           	400         	11          	0.4415      	0.4403      
1           	401         	11          	0.4379      	0.4397      
1           	402         	11          	0.4412      	0.4408      
1           	403         	11          	0.4484      	0.4465      
1           	404         	11          	0.4471      	0.445       
1           	405         	11          	0.4448      	0.4455      
1           	406         	11          	0.4545      	0.4512      
1           	407         	11          	0.4509      	0.451       
1           	408         	11          	0.4595      	0.4628      
1           	409         	11          	0.47        	0.4657      
1           	410         	11          	0.4644      	0.4637      
1           	411         	11          	0.4636      	0.4642      
1           	412         	11          	0.469       	0.4673      
1           	413         	11          	0.4628      	0.4622      
1           	414         	11          	0.458       	0.4573      
1           	415         	11          	0.4629      	0.4644      
1           	416         	11          	0.4595      	0.4596      
1           	417         	11          	0.4683      	0.4661      
1           	418         	11          	0.4643      	0.463       
1           	419         	11          	0.4606      	0.4606      
1           	420         	11          	0.466       	0.4659      
1           	421         	11          	0.4586      	0.4587      
1           	422         	11          	0.4567      	0.459       
1           	423         	11          	0.4523      	0.4543      
1           	424         	11          	0.455       	0.4558      
1           	425         	11          	0.4636      	0.4622      
1           	426         	11          	0.4595      	0.4595      
1           	427         	11          	0.4598      	0.4628      
1           	428         	11          	0.4599      	0.4584      
1           	429         	11          	0.4527      	0.4548      
1           	430         	11          	0.4555      	0.4548      
1           	431         	11          	0.4591      	0.4593      
1           	432         	11          	0.4485      	0.4542      
1           	433         	11          	0.4506      	0.4486      
1           	434         	11          	0.4438      	0.4481      
1           	435         	11          	0.4474      	0.4505      
1           	436         	11          	0.4538      	0.4572      
1           	437         	11          	0.4587      	0.4617      
1           	438         	11          	0.4711      	0.4712      
1           	439         	11          	0.4598      	0.4627      
1           	440         	11          	0.4629      	0.4622      
1           	441         	11          	0.4645      	0.464       
1           	442         	11          	0.4676      	0.4687      
1           	443         	11          	0.4661      	0.4658      
1           	444         	11          	0.4585      	0.4624      
1           	445         	11          	0.4653      	0.4616      
1           	446         	11          	0.4674      	0.4694      
1           	447         	11          	0.4691      	0.4712      
1           	448         	11          	0.474       	0.4717      
1           	449         	11          	0.4739      	0.4746      
1           	450         	11          	0.4829      	0.4812      
1           	451         	11          	0.4824      	0.4796      
1           	452         	11          	0.4763      	0.4753      
1           	453         	11          	0.4759      	0.4784      
1           	454         	11          	0.479       	0.4794      
1           	455         	11          	0.4873      	0.4874      
1           	456         	11          	0.4937      	0.4942      
1           	457         	11          	0.504       	0.5027      
1           	458         	11          	0.5102      	0.5085      
1           	459         	11          	0.5089      	0.5069      
1           	460         	11          	0.5013      	0.5024      
1           	461         	11          	0.5064      	0.5067      
1           	462         	11          	0.5076      	0.5089      
1           	463         	11          	0.5146      	0.5105      
1           	464         	11          	0.5204      	0.5194      
1           	465         	11          	0.5222      	0.5258      
1           	466         	11          	0.5323      	0.5297      
1           	467         	11          	0.5347      	0.5326      
1           	468         	11          	0.5374      	0.5361      
1           	469         	11          	0.5439      	0.5404      
1           	470         	11          	0.531       	0.5331      
1           	471         	11          	0.5349      	0.5346      
1           	472         	11          	0.5366      	0.5348      
1           	473         	11          	0.5296      	0.5343      
1           	474         	11          	0.5291      	0.5294      
1           	475         	11          	0.5389      	0.5353      
1           	476         	11          	0.5362      	0.5332      
1           	477         	11          	0.5409      	0.5355      
1           	478         	11          	0.5262      	0.5282      
1           	479         	11          	0.5324      	0.5321      
1           	480         	11          	0.5277      	0.5271      
1           	481         	11          	0.531       	0.5295      
1           	482         	11          	0.5303      	0.5309      
1           	483         	11          	0.5238      	0.5245      
1           	484         	11          	0.527       	0.528       
1           	485         	11          	0.5329      	0.5322      
1           	486         	11          	0.5314      	0.5296      
1           	487         	11          	0.5218      	0.5236      
1           	488         	11          	0.5285      	0.5279      
1           	489         	11          	0.5257      	0.5301      
1           	490         	11          	0.5346      	0.5295      
1           	491         	11          	0.5238      	0.5231      
1           	492         	11          	0.5242      	0.5265      
1           	493         	11          	0.5309      	0.5322      
1           	494         	11          	0.5195      	0.5266      
1           	495         	11          	0.5307      	0.5258      
1           	496         	11          	0.5244      	0.5251      
1           	497         	11          	0.5284      	0.5303      
1           	498         	11          	0.5293      	0.5276      
1           	499         	11          	0.5301      	0.5292      
1           	500         	11          	0.5216      	0.5209      
1           	501         	11          	0.5251      	0.5225      
1           	502         	11          	0.5277      	0.524       
1           	503         	11          	0.5293      	0.5295      
1           	504         	11          	0.5231      	0.5224      
1           	505         	11          	0.5271      	0.5238      
1           	506         	11          	0.5163      	0.5184      
1           	507         	11          	0.5156      	0.5174      
1           	508         	11          	0.5232      	0.5163      
1           	509         	11          	0.516       	0.518       
1           	510         	11          	0.5173      	0.5169      
1           	511         	11          	0.5182      	0.5194      
1           	512         	11          	0.5161      	0.5134      
1           	513         	11          	0.5161      	0.5172      
1           	514         	11          	0.5326      	0.529       
1           	515         	11          	0.5313      	0.5311      
1           	516         	11          	0.5293      	0.5285      
1           	517         	11          	0.5352      	0.536       
1           	518         	11          	0.5437      	0.5411      
1           	519         	11          	0.5443      	0.5447      
1           	520         	11          	0.551       	0.5551      
1           	521         	11          	0.5547      	0.5562      
1           	522         	11          	0.5528      	0.55        
1           	523         	11          	0.5629      	0.5569      
1           	524         	11          	0.5455      	0.5501      
1           	525         	11          	0.5535      	0.5487      
1           	526         	11          	0.5566      	0.5521      
1           	527         	11          	0.5556      	0.5542      
1           	528         	11          	0.5543      	0.5536      
1           	529         	11          	0.5514      	0.5548      
1           	530         	11          	0.5514      	0.5536      
1           	531         	11          	0.5491      	0.551       
1           	532         	11          	0.5646      	0.5631      
1           	533         	11          	0.5626      	0.5654      
1           	534         	11          	0.5702      	0.5676      
1           	535         	11          	0.5753      	0.5749      
1           	536         	11          	0.5881      	0.5861      
1           	537         	11          	0.5914      	0.5934      
1           	538         	11          	0.5906      	0.5923      
1           	539         	11          	0.5969      	0.599       
1           	540         	11          	0.5994      	0.6009      
1           	541         	11          	0.6047      	0.6049      
1           	542         	11          	0.6102      	0.6073      
1           	543         	11          	0.6088      	0.6107      
1           	544         	11          	0.6125      	0.6156      
1           	545         	11          	0.6101      	0.6133      
1           	546         	11          	0.6105      	0.6136      
1           	547         	11          	0.6207      	0.6194      
1           	548         	11          	0.6076      	0.6171      
1           	549         	11          	0.6201      	0.6201      
1           	550         	11          	0.6267      	0.6214      
1           	551         	11          	0.6161      	0.6198      
1           	552         	11          	0.6144      	0.6159      
1           	553         	11          	0.6099      	0.6104      
1           	554         	11          	0.6092      	0.6108      
1           	555         	11          	0.623       	0.6166      
1           	556         	11          	0.6169      	0.6191      
1           	557         	11          	0.614       	0.6137      
1           	558         	11          	0.6239      	0.6248      
1           	559         	11          	0.6316      	0.6275      
1           	560         	11          	0.6262      	0.6288      
1           	561         	11          	0.629       	0.6308      
1           	562         	11          	0.6254      	0.6258      
1           	563         	11          	0.6327      	0.6336      
1           	564         	11          	0.635       	0.6323      
1           	565         	11          	0.6336      	0.6302      
1           	566         	11          	0.6176      	0.6204      
1           	567         	11          	0.6176      	0.6195      
1           	568         	11          	0.6216      	0.6231      
1           	569         	11          	0.6217      	0.622       
1           	570         	11          	0.6231      	0.6254      
1           	571         	11          	0.6336      	0.629       
1           	572         	11          	0.632       	0.6294      
1           	573         	11          	0.6325      	0.6308      
1           	574         	11          	0.6352      	0.6395      
1           	575         	11          	0.6299      	0.6334      
1           	576         	11          	0.6371      	0.6366      
1           	577         	11          	0.6426      	0.6409      
1           	578         	11          	0.6405      	0.639       
1           	579         	11          	0.6399      	0.6414      
1           	580         	11          	0.6449      	0.6428      
1           	581         	11          	0.6424      	0.6433      
1           	582         	11          	0.6465      	0.645       
1           	583         	11          	0.6478      	0.6502      
1           	584         	11          	0.6505      	0.6476      
1           	585         	11          	0.6567      	0.6519      
1           	586         	11          	0.6495      	0.6504      
1           	587         	11          	0.6497      	0.6501      
1           	588         	11          	0.655       	0.6516      
1           	589         	11          	0.6506      	0.6527      
1           	590         	11          	0.6496      	0.6551      
1           	591         	11          	0.6576      	0.6507      
1           	592         	11          	0.6526      	0.6478      
1           	593         	11          	0.6469      	0.6448      
1           	594         	11          	0.638       	0.6398      
1           	595         	11          	0.6428      	0.6431      
1           	596         	11          	0.642       	0.643       
1           	597         	11          	0.6453      	0.6429      
1           	598         	11          	0.6434      	0.6412      
1           	599         	11          	0.6386      	0.6402      
1           	600         	11          	0.6451      	0.6437      
1           	601         	11          	0.6424      	0.6451      
1           	602         	11          	0.6421      	0.6407      
1           	603         	11          	0.646       	0.6434      
1           	604         	11          	0.6534      	0.6492      
1           	605         	11          	0.6489      	0.6435      
1           	606         	11          	0.6426      	0.6422      
1           	607         	11          	0.6325      	0.6375      
1           	608         	11          	0.6388      	0.6344      
1           	609         	11          	0.6396      	0.64        
1           	610         	11          	0.6402      	0.6413      
1           	611         	11          	0.6351      	0.6379      
1           	612         	11          	0.647       	0.6399      
1           	613         	11          	0.6418      	0.6396      
1           	614         	11          	0.6375      	0.6359      
1           	615         	11          	0.6372      	0.6329      
1           	616         	11          	0.6366      	0.6349      
1           	617         	11          	0.6404      	0.6371      
1           	618         	11          	0.63        	0.632       
1           	619         	11          	0.6248      	0.6232      
1           	620         	11          	0.6291      	0.6283      
1           	621         	11          	0.6383      	0.6348      
1           	622         	11          	0.6292      	0.6349      
1           	623         	11          	0.6373      	0.6373      
1           	624         	11          	0.6395      	0.6378      
1           	625         	11          	0.6315      	0.6313      
1           	626         	11          	0.6315      	0.6312      
1           	627         	11          	0.6289      	0.6286      
1           	628         	11          	0.6297      	0.6284      
1           	629         	11          	0.6287      	0.63        
1           	630         	11          	0.6172      	0.6229      
1           	631         	11          	0.6244      	0.625       
1           	632         	11          	0.6186      	0.6234      
1           	633         	11          	0.6217      	0.6233      
1           	634         	11          	0.6186      	0.6166      
1           	635         	11          	0.6308      	0.6209      
1           	636         	11          	0.6181      	0.6125      
1           	637         	11          	0.6195      	0.6159      
1           	638         	11          	0.6144      	0.6126      
1           	639         	11          	0.6123      	0.6097      
1           	640         	11          	0.6096      	0.614       
1           	641         	11          	0.6184      	0.6174      
1           	642         	11          	0.6155      	0.6142      
1           	643         	11          	0.6064      	0.6123      
1           	644         	11          	0.6193      	0.6166      
1           	645         	11          	0.606       	0.6123      
1           	646         	11          	0.611       	0.6124      
1           	647         	11          	0.6138      	0.6108      
1           	648         	11          	0.6118      	0.6118      
1           	649         	11          	0.6142      	0.6116      
1           	650         	11          	0.6137      	0.6147      
1           	651         	11          	0.6183      	0.6159      
1           	652         	11          	0.6049      	0.6094      
1           	653         	11          	0.6119      	0.6078      
1           	654         	11          	0.6157      	0.6132      
1           	655         	11          	0.6042      	0.606       
1           	656         	11          	0.6187      	0.6143      
1           	657         	11          	0.6108      	0.6113      
1           	658         	11          	0.6145      	0.6177      
1           	659         	11          	0.6109      	0.6126      
1           	660         	11          	0.6024      	0.6052      
1           	661         	11          	0.6036      	0.6068      
1           	662         	11          	0.6147      	0.6119      
1           	663         	11          	0.6134      	0.6154      
1           	664         	11          	0.622       	0.6193      
1           	665         	11          	0.6243      	0.6253      
1           	666         	11          	0.6231      	0.6226      
1           	667         	11          	0.6182      	0.6224      
1           	668         	11          	0.6278      	0.6244      
1           	669         	11          	0.6206      	0.6191      
1           	670         	11          	0.6211      	0.6197      
1           	671         	11          	0.6183      	0.62        
